event,event_date,High,Low
Biden AI Executive Order,2023-10-30,0.020602967072706507,0.004118796283721873
ChatGPT Launch,2022-11-30,-0.0718650232111177,-0.017567342276383832
Claude 3 Launch,2024-03-04,-0.14744514357864358,-0.01902416740586685
DeepSeek R1 Announcement,2024-01-25,0.010671968618266997,0.0007546993003463842
DeepSeek R1 Market Crash,2025-01-27,0.011365666233766246,-0.017533164363020853
DeepSeek V3 Disruption,2025-01-20,0.07197682089552236,0.030260042300689738
EU AI Act Vote,2023-07-18,0.03712663749999999,0.03088988600267531
GPT-4 Release,2023-03-14,0.018272536263736316,0.02074862731311021
Microsoft-OpenAI $10B Investment,2023-01-23,0.05473005345345344,-0.005454359459116986
NVIDIA Becomes Most Valuable Company,2024-06-18,0.15150356107660454,-0.005189218545983337
NVIDIA Q1 2024 Earnings Surge,2023-05-25,-0.024415383710407246,0.012010779141427619
OpenAI o1 Release,2024-09-10,0.059130580633418264,0.015052850554839375
